eco,eco_name,eco_example,eco_type,eco_group,openings.name,openings.link,openings.color,openings.total_games,openings.eco,openings.last_played,Performance,openings.avg_player,Wins,Draws,Loses,openings.moves
"D29","Queen's Gambit Accepted, Classical","1 d4 d5 2 c4 dxc4 3 Nf3 Nf6 4 e3 e6 5 Bxc4 c5 6 O-O a6 7 Qe2 b5 8 Bb3 Bb7","D","Closed","Queen's Gambit Accepted, Classical Defense, Alekhine System, Main Line","https://old.chesstempo.com/gamedb/opening/1638","black",801,"D29","21-11-2020",2372,"2377",0.317,0.363,0.32,"1.d4 d5 2.c4 dxc4 3.Cf3 Cf6 4.e3 e6 5.Axc4 c5 6.O-O a6 7.De2 b5 8.Ab3 Ab7"
"D27","Queen's Gambit Accepted, Classical","1 d4 d5 2 c4 dxc4 3 Nf3 Nf6 4 e3 e6 5 Bxc4 c5 6 O-O a6","D","Closed","Queen's Gambit Accepted, Classical Defense, Main Lines","https://old.chesstempo.com/gamedb/opening/1640","black",4548,"D27","22-03-2021",2339,"2379",0.169,0.475,0.356,"1.d4 d5 2.c4 dxc4 3.Cf3 Cf6 4.e3 e6 5.Axc4 c5 6.O-O a6"
"D25","Queen's Gambit Accepted","1 d4 d5 2 c4 dxc4 3 Nf3 Nf6 4 e3","D","Closed","Queen's Gambit Accepted, Deferred","https://old.chesstempo.com/gamedb/opening/1646","black",306,"D25","21-02-2021",2159,"2184",0.366,0.301,0.333,"1.d4 d5 2.Cf3 Cf6 3.c4 dxc4"
"D23","Queen's Gambit Accepted","1 d4 d5 2 c4 dxc4 3 Nf3 Nf6","D","Closed","Queen's Gambit Accepted, Mannheim Variation","https://old.chesstempo.com/gamedb/opening/1656","white",1052,"D23","21-03-2021",2361,"2333",0.398,0.357,0.244,"1.d4 d5 2.c4 dxc4 3.Cf3 Cf6 4.Da4+"
"D31","Queen's Gambit Declined","1 d4 d5 2 c4 e6 3 Nc3","D","Closed","Queen's Gambit Declined, Alapin Variation","https://old.chesstempo.com/gamedb/opening/1671","black",68,"D31","08-09-2019",2053,"2137",0.221,0.162,0.618,"1.d4 d5 2.c4 e6 3.Cc3 b6"
"D51","Queen's Gambit Declined","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Bg5 Nbd7","D","Closed","Queen's Gambit Declined, Alekhine Variation","https://old.chesstempo.com/gamedb/opening/1672","white",76,"D51","06-01-2019",2066,"2049",0.395,0.171,0.434,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Ag5 Cbd7 5.Cf3 c6 6.e4"
"D55","Queen's Gambit Declined","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Bg5 Be7 5 e3 O-O 6 Nf3","D","Closed","Queen's Gambit Declined, Anti-Tartakower Variation","https://old.chesstempo.com/gamedb/opening/1673","white",922,"D55","22-01-2021",2385,"2367",0.397,0.397,0.206,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Ag5 Ae7 5.e3 O-O 6.Cf3 h6 7.Axf6"
"D37","Queen's Gambit Declined","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Nf3","D","Closed","Queen's Gambit Declined, Barmen Variation","https://old.chesstempo.com/gamedb/opening/2815","black",4427,"D37","25-03-2021",2245,"2287",0.229,0.366,0.404,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Cf3 Cbd7"
"D50","Queen's Gambit Declined","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Bg5","D","Closed","Queen's Gambit Declined, Been-Koomen Variation","https://old.chesstempo.com/gamedb/opening/1675","black",104,"D50","12-01-2020",2162,"2162",0.298,0.327,0.375,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Ag5 c5"
"D52","Queen's Gambit Declined","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Bg5 Nbd7 5 e3 c6 6 Nf3","D","Closed","Queen's Gambit Declined, Cambridge Springs Variation","https://old.chesstempo.com/gamedb/opening/1676","black",4801,"D52","21-03-2021",2171,"2207",0.274,0.329,0.397,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Ag5 Cbd7 5.Cf3 c6 6.e3 Da5"
"D30","Queen's Gambit Declined","1 d4 d5 2 c4 e6","D","Closed","Queen's Gambit Declined, Capablanca - General","https://old.chesstempo.com/gamedb/opening/1677","black",794,"D30","28-08-2020",2361,"2389",0.311,0.368,0.321,"1.d4 d5 2.c4 e6 3.Cf3 Cf6 4.Ag5 h6"
"D35","Queen's Gambit Declined","1 d4 d5 2 c4 e6 3 Nc3 Nf6","D","Closed","Queen's Gambit Declined, Exchange Variation","https://old.chesstempo.com/gamedb/opening/1680","white",1890,"D35","28-03-2021",2215,"2186",0.429,0.342,0.229,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.cxd5"
"D36","Queen's Gambit Declined, Exchange, Positional line, 6.Qc2","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 cxd5 exd5 5 Bg5 c6 6 Qc2","D","Closed","Queen's Gambit Declined, Exchange Variation, Reshevsky Variation","https://old.chesstempo.com/gamedb/opening/1683","white",2172,"D36","20-03-2021",2288,"2242",0.453,0.32,0.227,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.cxd5 exd5 5.Ag5 c6 6.Dc2"
"D56","Queen's Gambit Declined","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Bg5 Be7 5 e3 O-O 6 Nf3 h6 7 Bh4","D","Closed","Queen's Gambit Declined, Lasker Defense","https://old.chesstempo.com/gamedb/opening/1699","black",1446,"D56","22-08-2020",2325,"2342",0.16,0.549,0.291,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Ag5 Ae7 5.e3 O-O 6.Cf3 h6 7.Ah4 Ce4"
"D53","Queen's Gambit Declined","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Bg5 Be7","D","Closed","Queen's Gambit Declined, Lasker Defense","https://old.chesstempo.com/gamedb/opening/1698","black",71,"D53","02-09-2018",2191,"2235",0.183,0.409,0.409,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Ag5 Ae7 5.e3 Ce4"
"D57","Queen's Gambit Declined, Lasker Defense","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Bg5 Be7 5 e3 O-O 6 Nf3 h6 7 Bh4 Ne4 8 Bxe7 Qxe7","D","Closed","Queen's Gambit Declined, Lasker Defense, Bernstein Variation","https://old.chesstempo.com/gamedb/opening/1700","black",47,"D57","11-09-2016",2389,"2419",0.213,0.447,0.34,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Ag5 Ae7 5.e3 O-O 6.Cf3 h6 7.Ah4 Ce4 8.Axe7 Dxe7 9.cxd5 Cxc3 10.bxc3 exd5 11.Db3 Dd6"
"D54","Queen's Gambit Declined, Anti-Neo-Orthodox Variation","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Bg5 Be7 5 e3 O-O 6 Rc1","D","Closed","Queen's Gambit Declined, Neo-Orthodox Variation","https://old.chesstempo.com/gamedb/opening/1710","white",251,"D54","17-07-2020",2481,"2412",0.45,0.398,0.151,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Ag5 Ae7 5.e3 O-O 6.Tc1"
"D67","Queen's Gambit Declined, Orthodox Defense, Bd3 line","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Bg5 Be7 5 e3 O-O 6 Nf3 Nbd7 7 Rc1 c6 8 Bd3 dxc4 9 Bxc4 Nd5","D","Closed","Queen's Gambit Declined, Orthodox Defense, Alekhine Variation","https://old.chesstempo.com/gamedb/opening/1715","white",316,"D67","01-07-2016",2508,"2434",0.396,0.535,0.07,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Ag5 Ae7 5.e3 O-O 6.Cf3 Cbd7 7.Tc1 c6 8.Ad3 dxc4 9.Axc4 Cd5 10.Axe7 Dxe7 11.Ce4"
"D60","Queen's Gambit Declined, Orthodox Defense","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Bg5 Be7 5 e3 O-O 6 Nf3 Nbd7","D","Closed","Queen's Gambit Declined, Orthodox Defense, Botvinnik Variation","https://old.chesstempo.com/gamedb/opening/1716","white",1433,"D60","01-12-2020",2107,"2068",0.401,0.316,0.283,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Ag5 Ae7 5.e3 O-O 6.Cf3 Cbd7 7.Ad3"
"D63","Queen's Gambit Declined, Orthodox Defense","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Bg5 Be7 5 e3 O-O 6 Nf3 Nbd7 7 Rc1","D","Closed","Queen's Gambit Declined, Orthodox Defense, Capablanca Variation","https://old.chesstempo.com/gamedb/opening/1718","white",35,"D63","03-02-2017",2456,"2399",0.457,0.343,0.2,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Ag5 Ae7 5.e3 O-O 6.Cf3 Cbd7 7.Tc1 b6 8.cxd5 exd5 9.Ab5"
"D68","Queen's Gambit Declined, Orthodox Defense, Classical","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Bg5 Be7 5 e3 O-O 6 Nf3 Nbd7 7 Rc1 c6 8 Bd3 dxc4","D","Closed","Queen's Gambit Declined, Orthodox Defense, Classical Variation","https://old.chesstempo.com/gamedb/opening/1721","white",37,"D68","23-05-2015",2431,"2403",0.46,0.351,0.189,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Ag5 Ae7 5.e3 O-O 6.Cf3 Cbd7 7.Tc1 c6 8.Ad3 dxc4 9.Axc4 Cd5 10.Axe7 Dxe7 11.O-O Cxc3 12.Txc3 e5 13.Db1"
"D69","Queen's Gambit Declined, Orthodox Defense, Classical, 13.de","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Bg5 Be7 5 e3 O-O 6 Nf3 Nbd7 7 Rc1 c6 8 Bd3 dxc4","D","Closed","Queen's Gambit Declined, Orthodox Defense, Classical Variation","https://old.chesstempo.com/gamedb/opening/1722","white",224,"D69","18-03-2021",2335,"2292",0.241,0.656,0.103,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Ag5 Ae7 5.e3 O-O 6.Cf3 Cbd7 7.Tc1 c6 8.Ad3 dxc4 9.Axc4 Cd5 10.Axe7 Dxe7 11.O-O Cxc3 12.Txc3 e5 13.dxe5 Cxe5 14.Cxe5"
"D66","Queen's Gambit Declined, Orthodox Defense, Bd3 line","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Bg5 Be7 5 e3 O-O 6 Nf3 Nbd7 7 Rc1 c6 8 Bd3","D","Closed","Queen's Gambit Declined, Orthodox Defense, Fianchetto Variation","https://old.chesstempo.com/gamedb/opening/1723","black",242,"D66","29-01-2020",2068,"2104",0.194,0.31,0.496,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Ag5 Ae7 5.e3 O-O 6.Cf3 Cbd7 7.Tc1 c6 8.Ad3 dxc4 9.Axc4 b5"
"D64","Queen's Gambit Declined, Orthodox, Rubinstein Attack","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Bg5 Be7 5 e3 O-O 6 Nf3 Nbd7 7 Rc1 c6 8 Qc2","D","Closed","Queen's Gambit Declined, Orthodox Defense, Rubinstein Attack","https://old.chesstempo.com/gamedb/opening/1733","black",70,"D64","28-08-2011",2401,"2452",0.2,0.429,0.371,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Ag5 Ae7 5.e3 O-O 6.Cf3 Cbd7 7.Tc1 c6 8.Dc2 Ce4"
"D65","Queen's Gambit Declined, Orthodox, Rubinstein Attack, Main line","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Bg5 Be7 5 e3 O-O 6 Nf3 Nbd7 7 Rc1 c6 8 Qc2 a6 9 cxd5","D","Closed","Queen's Gambit Declined, Orthodox Defense, Rubinstein Attack","https://old.chesstempo.com/gamedb/opening/1732","white",50,"D65","22-04-2019",2499,"2438",0.42,0.4,0.18,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Ag5 Ae7 5.e3 O-O 6.Cf3 Cbd7 7.Tc1 c6 8.Dc2 a6 9.cxd5"
"D61","Queen's Gambit Declined, Orthodox, Rubinstein Attack","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Bg5 Be7 5 e3 O-O 6 Nf3 Nbd7 7 Qc2","D","Closed","Queen's Gambit Declined, Orthodox Defense, Rubinstein Variation","https://old.chesstempo.com/gamedb/opening/1735","white",1806,"D61","20-03-2021",2354,"2304",0.497,0.321,0.182,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Ag5 Ae7 5.e3 O-O 6.Cf3 Cbd7 7.Dc2"
"D62","Queen's Gambit Declined, Orthodox, Rubinstein Attack","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Bg5 Be7 5 e3 O-O 6 Nf3 Nbd7 7 Qc2 c5 8 cxd5","D","Closed","Queen's Gambit Declined, Orthodox Defense, Rubinstein Variation, Flohr Line","https://old.chesstempo.com/gamedb/opening/2831","white",342,"D62","27-09-2019",2467,"2432",0.31,0.553,0.137,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Ag5 Ae7 5.e3 O-O 6.Cf3 Cbd7 7.Dc2 c5 8.cxd5"
"D38","Queen's Gambit Declined, Ragozin Variation","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Nf3 Bb4","D","Closed","Queen's Gambit Declined, Ragozin Defense","https://old.chesstempo.com/gamedb/opening/1741","black",5124,"D38","26-03-2021",2302,"2334",0.243,0.401,0.355,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Cf3 Ab4"
"D39","Queen's Gambit Declined, Ragozin, Vienna Variation","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Nf3 Bb4 5 Bg5 dxc4","D","Closed","Queen's Gambit Declined, Ragozin Defense, Vienna Variation","https://old.chesstempo.com/gamedb/opening/1743","black",775,"D39","18-01-2021",2410,"2419",0.33,0.374,0.296,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Cf3 Ab4 5.Ag5 dxc4"
"D40","Queen's Gambit Declined, Semi-Tarrasch","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Nf3 c5","D","Closed","Queen's Gambit Declined, Semi-Tarrasch Defense","https://old.chesstempo.com/gamedb/opening/1744","black",1459,"D40","28-02-2021",2217,"2254",0.203,0.394,0.403,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Cf3 c5"
"D41","Queen's Gambit Declined, Semi-Tarrasch","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Nf3 c5 5 cxd5","D","Closed","Queen's Gambit Declined, Semi-Tarrasch Defense, Exchange Variation","https://old.chesstempo.com/gamedb/opening/1745","white",1836,"D41","21-02-2021",2466,"2409",0.344,0.49,0.166,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Cf3 c5 5.cxd5 Cxd5 6.e4"
"D42","Queen's Gambit Declined, Semi-Tarrasch, 7.Bd3","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Nf3 c5 5 cxd5 Nxd5 6 e3 Nc6 7 Bd3","D","Closed","Queen's Gambit Declined, Semi-Tarrasch Defense, Main Line","https://old.chesstempo.com/gamedb/opening/1746","white",711,"D42","08-03-2020",2521,"2466",0.385,0.468,0.146,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Cf3 c5 5.cxd5 Cxd5 6.e3 Cc6 7.Ad3"
"D58","Queen's Gambit Declined, Tartakower (Makagonov-Bondarevsky) System","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Bg5 Be7 5 e3 O-O 6 Nf3 h6 7 Bh4 b6","D","Closed","Queen's Gambit Declined, Tartakower Defense, General","https://old.chesstempo.com/gamedb/opening/1753","black",5273,"D58","21-01-2021",2319,"2347",0.193,0.485,0.322,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Ag5 Ae7 5.e3 O-O 6.Cf3 h6 7.Ah4 b6"
"D59","Queen's Gambit Declined, Tartakower","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Bg5 Be7 5 e3 O-O 6 Nf3 h6 7 Bh4 b6 8 cxd5 Nxd5","D","Closed","Queen's Gambit Declined, Tartakower Defense, Makogonov Exchange Variation","https://old.chesstempo.com/gamedb/opening/1754","black",1381,"D59","09-02-2021",2263,"2268",0.263,0.506,0.231,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Ag5 Ae7 5.e3 O-O 6.Cf3 h6 7.Ah4 b6 8.cxd5 Cxd5"
"D44","Queen's Gambit Declined Semi-Slav","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Nf3 c6 5 Bg5 dxc4","D","Closed","Queen's Gambit Declined, Vienna Variation w","https://old.chesstempo.com/gamedb/opening/1758","black",2700,"D44","19-02-2021",2381,"2415",0.224,0.437,0.339,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Cf3 dxc4"
"D08","Queen's Gambit Declined, Albin Counter Gambit","1 d4 d5 2 c4 e5","D","Closed","Queen's Gambit Refused, Albin Countergambit","https://old.chesstempo.com/gamedb/opening/1762","black",816,"D08","21-03-2021",1981,"2014",0.352,0.221,0.428,"1.d4 d5 2.c4 e5"
"D09","Queen's Gambit Declined, Albin Counter Gambit, 5.g3","1 d4 d5 2 c4 e5 3 dxe5 d4 4 Nf3 Nc6 5 g3","D","Closed","Queen's Gambit Refused, Albin Countergambit, Fianchetto Variation","https://old.chesstempo.com/gamedb/opening/1764","white",668,"D09","19-01-2021",2208,"2178",0.422,0.278,0.299,"1.d4 d5 2.c4 e5 3.dxe5 d4 4.Cf3 Cc6 5.g3"
"D06","Queen's Gambit Declined","1 d4 d5 2 c4","D","Closed","Queen's Gambit Refused, Austrian Attack, Salvio Countergambit","https://old.chesstempo.com/gamedb/opening/1771","black",32,"D06","08-01-2020",1947,"1972",0.375,0.281,0.344,"1.d4 d5 2.c4 c5 3.dxc5 d4"
"D07","Queen's Gambit Declined, Chigorin Defense","1 d4 d5 2 c4 Nc6","D","Closed","Queen's Gambit Refused, Chigorin Defense","https://old.chesstempo.com/gamedb/opening/1783","black",1692,"D07","27-02-2021",2107,"2149",0.293,0.249,0.457,"1.d4 d5 2.c4 Cc6"
"D45","Queen's Gambit Declined Semi-Slav","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Nf3 c6 5 e3","D","Closed","Semi-Slav Defense, Accelerated Meran Variation","https://old.chesstempo.com/gamedb/opening/1954","black",2392,"D45","27-02-2021",2387,"2419",0.242,0.437,0.321,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Cf3 c6 5.e3 a6"
"D46","Queen's Gambit Declined Semi-Slav","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Nf3 c6 5 e3 Nbd7 6 Bd3","D","Closed","Semi-Slav Defense, Bogoljubow Variation","https://old.chesstempo.com/gamedb/opening/1959","black",1105,"D46","18-03-2021",2033,"2079",0.192,0.291,0.517,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Cf3 c6 5.e3 Cbd7 6.Ad3 Ae7"
"D43","Queen's Gambit Declined Semi-Slav","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Nf3 c6","D","Closed","Semi-Slav Defense, General","https://old.chesstempo.com/gamedb/opening/1967","black",16067,"D43","26-03-2021",2189,"2216",0.248,0.349,0.403,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Cf3 c6"
"D48","Queen's Gambit Declined Semi-Slav, Meran","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Nf3 c6 5 e3 Nbd7 6 Bd3 dxc4 7 Bxc4 b5 8 Bd3 a6","D","Closed","Semi-Slav Defense, Meran Variation","https://old.chesstempo.com/gamedb/opening/1976","black",1359,"D48","26-02-2021",2170,"2174",0.372,0.3,0.328,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Cf3 c6 5.e3 Cbd7 6.Ad3 dxc4 7.Axc4 b5 8.Ad3 a6"
"D47","Queen's Gambit Declined Semi-Slav","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Nf3 c6 5 e3 Nbd7 6 Bd3 dxc4 7 Bxc4","D","Closed","Semi-Slav Defense, Meran Variation","https://old.chesstempo.com/gamedb/opening/1975","black",2714,"D47","09-03-2021",2325,"2346",0.269,0.405,0.326,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Cf3 c6 5.e3 Cbd7 6.Ad3 dxc4 7.Axc4 b5"
"D49","Queen's Gambit Declined Semi-Slav, Meran","1 d4 d5 2 c4 e6 3 Nc3 Nf6 4 Nf3 c6 5 e3 Nbd7 6 Bd3 dxc4 7 Bxc4 b5 8 Bd3 a6 9 e4 c5 10 e5 cxd4 11 Nxb5","D","Closed","Semi-Slav Defense, Meran Variation, Blumenfeld Variation","https://old.chesstempo.com/gamedb/opening/1977","white",446,"D49","15-02-2020",2403,"2365",0.406,0.327,0.267,"1.d4 d5 2.c4 e6 3.Cc3 Cf6 4.Cf3 c6 5.e3 Cbd7 6.Ad3 dxc4 7.Axc4 b5 8.Ad3 a6 9.e4 c5 10.e5 cxd4 11.Cxb5"
"D16","Queen's Gambit Declined Slav","1 d4 d5 2 c4 c6 3 Nf3 Nf6 4 Nc3 dxc4 5 a4","D","Closed","Slav Defense, Alapin Variation","https://old.chesstempo.com/gamedb/opening/2300","white",527,"D16","24-01-2020",2298,"2244",0.499,0.247,0.254,"1.d4 d5 2.c4 c6 3.Cf3 Cf6 4.Cc3 dxc4 5.a4"
"D15","Queen's Gambit Declined Slav","1 d4 d5 2 c4 c6 3 Nf3 Nf6 4 Nc3","D","Closed","Slav Defense, Alekhine Variation","https://old.chesstempo.com/gamedb/opening/2302","white",1110,"D15","01-02-2020",2265,"2255",0.36,0.3,0.34,"1.d4 d5 2.c4 c6 3.Cf3 Cf6 4.Cc3 dxc4 5.e3"
"D11","Queen's Gambit Declined Slav","1 d4 d5 2 c4 c6 3 Nf3","D","Closed","Slav Defense, Bonet Gambit","https://old.chesstempo.com/gamedb/opening/2303","white",183,"D11","19-01-2021",1769,"1772",0.284,0.262,0.454,"1.d4 d5 2.c4 c6 3.Cf3 Cf6 4.Ag5"
"D17","Queen's Gambit Declined Slav","1 d4 d5 2 c4 c6 3 Nf3 Nf6 4 Nc3 dxc4 5 a4 Bf5","D","Closed","Slav Defense, Czech Variation","https://old.chesstempo.com/gamedb/opening/2307","black",161,"D17","31-10-2020",2085,"2092",0.478,0.224,0.298,"1.d4 d5 2.c4 c6 3.Cf3 Cf6 4.Cc3 dxc4 5.a4 Af5"
"D18","Queen's Gambit Declined Slav, Dutch","1 d4 d5 2 c4 c6 3 Nf3 Nf6 4 Nc3 dxc4 5 a4 Bf5 6 e3","D","Closed","Slav Defense, Czech Variation, Classical System","https://old.chesstempo.com/gamedb/opening/2310","white",5913,"D18","13-03-2021",2324,"2304",0.352,0.389,0.258,"1.d4 d5 2.c4 c6 3.Cf3 Cf6 4.Cc3 dxc4 5.a4 Af5 6.e3"
"D19","Queen's Gambit Declined Slav, Dutch","1 d4 d5 2 c4 c6 3 Nf3 Nf6 4 Nc3 dxc4 5 a4 Bf5 6 e3 e6 7 Bxc4 Bb4 8 O-O O-O 9 Qe2","D","Closed","Slav Defense, Czech Variation, Classical System, Main Line","https://old.chesstempo.com/gamedb/opening/2311","white",2090,"D19","15-12-2020",2343,"2320",0.338,0.41,0.251,"1.d4 d5 2.c4 c6 3.Cf3 Cf6 4.Cc3 dxc4 5.a4 Af5 6.e3 e6 7.Axc4 Ab4 8.O-O O-O 9.De2"
"D10","Queen's Gambit Declined Slav","1 d4 d5 2 c4 c6","D","Closed","Slav Defense, Exchange Variation","https://old.chesstempo.com/gamedb/opening/2318","white",9133,"D10","17-03-2021",2239,"2202",0.316,0.435,0.249,"1.d4 d5 2.c4 c6 3.cxd5"
"D13","Queen's Gambit Declined Slav, Exchange Variation","1 d4 d5 2 c4 c6 3 Nf3 Nf6 4 cxd5 cxd5","D","Closed","Slav Defense, Exchange Variation","https://old.chesstempo.com/gamedb/opening/2319","black",4773,"D13","18-03-2021",2228,"2260",0.245,0.493,0.261,"1.d4 d5 2.c4 c6 3.Cf3 Cf6 4.cxd5 cxd5"
"D12","Queen's Gambit Declined Slav","1 d4 d5 2 c4 c6 3 Nf3 Nf6 4 e3 Bf5","D","Closed","Slav Defense, Exchange Variation, Schallopp Variation","https://old.chesstempo.com/gamedb/opening/2320","white",378,"D12","18-10-2019",2286,"2273",0.41,0.312,0.278,"1.d4 d5 2.c4 c6 3.Cf3 Cf6 4.e3 Af5 5.cxd5 cxd5 6.Cc3"
"D14","Queen's Gambit Declined Slav, Exchange Variation","1 d4 d5 2 c4 c6 3 Nf3 Nf6 4 cxd5 cxd5 5 Nc3 Nc6 6 Bf4 Bf5","D","Closed","Slav Defense, Exchange Variation, Symmetrical Line","https://old.chesstempo.com/gamedb/opening/2321","black",3455,"D14","17-03-2021",2303,"2326",0.149,0.686,0.165,"1.d4 d5 2.c4 c6 3.Cf3 Cf6 4.cxd5 cxd5 5.Cc3 Cc6 6.Af4 Af5"
"D34","Queen's Gambit Declined, Tarrasch","1 d4 d5 2 c4 e6 3 Nc3 c5 4 cxd5 exd5 5 Nf3 Nc6 6 g3 Nf6 7 Bg2 Be7","D","Closed","Tarrasch Defense, Classical Variation","https://old.chesstempo.com/gamedb/opening/2536","black",3154,"D34","20-12-2020",2228,"2265",0.197,0.376,0.427,"1.d4 d5 2.c4 e6 3.Cc3 c5 4.cxd5 exd5 5.Cf3 Cc6 6.g3 Cf6 7.Ag2 Ae7 8.O-O O-O"
"D32","Queen's Gambit Declined, Tarrasch","1 d4 d5 2 c4 e6 3 Nc3 c5","D","Closed","Tarrasch Defense, General","https://old.chesstempo.com/gamedb/opening/2547","black",787,"D32","15-03-2021",2100,"2123",0.363,0.282,0.355,"1.d4 d5 2.c4 e6 3.Cc3 c5"
"D33","Queen's Gambit Declined, Tarrasch","1 d4 d5 2 c4 e6 3 Nc3 c5 4 cxd5 exd5 5 Nf3 Nc6 6 g3","D","Closed","Tarrasch Defense, Prague Variation","https://old.chesstempo.com/gamedb/opening/2550","black",454,"D33","19-03-2021",2122,"2176",0.167,0.306,0.526,"1.d4 d5 2.c4 e6 3.Cc3 c5 4.cxd5 exd5 5.Cf3 Cc6 6.g3 Cf6"
"B03","Alekhine's Defense","1 e4 Nf6 2 e5 Nd5 3 d4","B","Semi-Open (exc French)","Alekhine Defense, Balogh Variation","https://old.chesstempo.com/gamedb/opening/1","white",758,"B03","21-10-2020",2231,"2207",0.406,0.243,0.351,"1.e4 Cf6 2.e5 Cd5 3.d4 d6 4.Ac4"
"B02","Alekhine's Defense","1 e4 Nf6","B","Semi-Open (exc French)","Alekhine Defense, Brooklyn Variation","https://old.chesstempo.com/gamedb/opening/2","black",262,"B02","21-11-2020",2156,"2194",0.301,0.244,0.454,"1.e4 Cf6 2.e5 Cg8"
"B04","Alekhine's Defense, Modern","1 e4 Nf6 2 e5 Nd5 3 d4 d6 4 Nf3","B","Semi-Open (exc French)","Alekhine Defense, Modern Variation","https://old.chesstempo.com/gamedb/opening/22","white",537,"B04","26-01-2020",2397,"2326",0.447,0.315,0.238,"1.e4 Cf6 2.e5 Cd5 3.d4 d6 4.Cf3"
"B05","Alekhine's Defense, Modern","1 e4 Nf6 2 e5 Nd5 3 d4 d6 4 Nf3 Bg4","B","Semi-Open (exc French)","Alekhine Defense, Modern Variation, Alekhine Variation","https://old.chesstempo.com/gamedb/opening/25","white",80,"B05","10-12-2019",2208,"2180",0.338,0.325,0.338,"1.e4 Cf6 2.e5 Cd5 3.d4 d6 4.Cf3 Ag4 5.c4"
